,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
4,420304,864691135567738604,[251200 102352  18621],2022-06-09 14:30:32.002707,L1,excitatory,23P,80.0,4588.0,65.0,4192.0,1
11,186024,864691136020317944,[142656  93936  24652],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,199.0,1481.0,175.0,1409.0,1
14,485877,864691136020289272,[287360  95328  23715],2022-06-09 14:30:32.002707,L1,excitatory,23P,21.0,4519.0,18.0,4177.0,1
21,291113,864691135785741252,[184464 106672  20599],2022-06-09 14:30:32.002707,L1,excitatory,23P,217.0,5199.0,184.0,4780.0,1
30,451870,864691136175612934,[270944  91120  25588],2022-06-09 14:30:32.002707,L1,excitatory,23P,48.0,3790.0,36.0,3451.0,1
31,291537,864691135454481770,[184976  95712  24542],2022-06-09 14:30:32.002707,L1,excitatory,23P,74.0,3577.0,62.0,3300.0,1
34,324282,864691136143401780,[209824  94400  21669],2022-06-09 14:30:32.002707,L1,excitatory,23P,28.0,2417.0,21.0,2231.0,1
43,485326,864691136952281055,[279184  99504  17338],2022-06-09 14:30:32.002707,L1,excitatory,23P,56.0,4904.0,47.0,4524.0,1
45,687120,864691135367005945,[380464  90592  22722],2022-06-09 14:30:32.002707,L1,excitatory,23P,27.0,1982.0,18.0,1823.0,1
47,324493,864691135274564069,[206256  97984  23662],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,659.0,1922.0,460.0,1766.0,1
49,388784,864691136003000456,[243632  80208  26891],2022-06-09 14:30:32.002707,L1,excitatory,23P,154.0,1250.0,135.0,1167.0,1
51,551286,864691136565449378,[322496  98528  15361],2022-06-09 14:30:32.002707,L1,excitatory,NGC,118.0,2899.0,112.0,2751.0,1
65,608223,864691136136593533,[348336  97552  20194],2022-06-09 14:30:32.002707,L1,excitatory,23P,19.0,2031.0,14.0,1908.0,1
68,151966,864691135385279061,[129184 108176  20341],2022-06-09 14:30:32.002707,L1,excitatory,23P,22.0,1876.0,17.0,1765.0,1
71,389633,864691135617829263,[237424  95792  23267],2022-06-09 14:30:32.002707,L1,excitatory,23P,34.0,2486.0,25.0,2300.0,1
72,580922,864691135476158120,[337648 103328  20319],2022-06-09 14:30:32.002707,L1,excitatory,23P,61.0,6285.0,39.0,5715.0,1
73,20558,864691135535098473,[ 73312 104240  21334],2022-06-09 14:30:32.002707,L1,inhibitory,MC,8.0,205.0,7.0,181.0,1
74,152140,864691135567746284,[126304 105504  23148],2022-06-09 14:30:32.002707,L1,excitatory,23P,12.0,1774.0,9.0,1683.0,1
75,608121,864691136973682460,[355968 102880  18612],2022-06-09 14:30:32.002707,L1,excitatory,23P,41.0,4041.0,30.0,3764.0,1
76,608256,864691135953735944,[356912 100080  19613],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,1780.0,20.0,1654.0,1
77,389270,864691136084056172,[244960 102048  18873],2022-06-09 14:30:32.002707,L1,excitatory,23P,199.0,4360.0,178.0,3999.0,1
80,253384,864691135558231748,[173392  88544  25378],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,34.0,2511.0,23.0,2371.0,1
82,551327,864691136020705528,[319920  98352  15839],2022-06-09 14:30:32.002707,L1,inhibitory,MC,359.0,2439.0,298.0,2310.0,1
85,687144,864691136236717327,[384208  92112  23155],2022-06-09 14:30:32.002707,L1,inhibitory,BC,27.0,2733.0,17.0,2561.0,1
89,484757,864691136020251896,[278880  86384  23253],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,205.0,2127.0,191.0,1996.0,1
92,516514,864691135585145724,[299264  97872  16072],2022-06-09 14:30:32.002707,L1,excitatory,23P,52.0,1489.0,44.0,1388.0,1
97,485562,864691135269744037,[294624 100624  19886],2022-06-09 14:30:32.002707,L1,excitatory,23P,23.0,4313.0,17.0,3952.0,1
99,636460,864691135293069836,[375488  91376  23949],2022-06-09 14:30:32.002707,L1,excitatory,23P,168.0,2392.0,147.0,2218.0,1
106,580929,864691136225072062,[341328  99552  19552],2022-06-09 14:30:32.002707,L1,inhibitory,BC,19.0,2804.0,13.0,2562.0,1
129,388988,864691135945920804,[242688  98416  15811],2022-06-09 14:30:32.002707,L1,excitatory,23P,18.0,3381.0,10.0,2902.0,1
134,420403,864691135345445279,[256320  98512  19476],2022-06-09 14:30:32.002707,L1,excitatory,23P,41.0,4948.0,30.0,4464.0,1
137,105162,864691135654055618,[114208  97792  23380],2022-06-09 14:30:32.002707,L1,excitatory,23P,184.0,3066.0,151.0,2731.0,1
144,357098,864691135386900609,[222352  84752  26874],2022-06-09 14:30:32.002707,L1,excitatory,23P,56.0,1241.0,53.0,1156.0,1
148,551589,864691135731052180,[317872  98496  17763],2022-06-09 14:30:32.002707,L1,inhibitory,MC,18.0,3124.0,13.0,2943.0,1
150,59922,864691136143611799,[ 96608 107600  16253],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,34.0,2490.0,23.0,2287.0,1
161,516299,864691135737186180,[305456  82176  25058],2022-06-09 14:30:32.002707,L1,excitatory,23P,169.0,868.0,152.0,830.0,1
173,290913,864691135396369185,[192608  95312  18488],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,33.0,1781.0,24.0,1662.0,1
183,187088,864691136296971291,[138640  99616  17164],2022-06-09 14:30:32.002707,L1,inhibitory,MC,1543.0,3619.0,1254.0,3385.0,1
186,324150,864691135012417782,[209888 106176  19688],2022-06-09 14:30:32.002707,L1,excitatory,23P,59.0,3427.0,51.0,3174.0,1
187,451930,864691135564962583,[269776  87584  26526],2022-06-09 14:30:32.002707,L1,excitatory,23P,241.0,2736.0,226.0,2470.0,1
189,418897,864691135939647398,[256448  93184  17381],2022-06-09 14:30:32.002707,L1,inhibitory,MC,424.0,4141.0,362.0,3857.0,1
191,452054,864691135474739264,[268784  95024  15579],2022-06-09 14:30:32.002707,L1,excitatory,23P,40.0,5198.0,38.0,4753.0,1
203,636668,864691136008889518,[372912  83584  25019],2022-06-09 14:30:32.002707,L1,excitatory,23P,28.0,2334.0,22.0,2139.0,1
209,388681,864691136723726333,[230288  92976  25531],2022-06-09 14:30:32.002707,L1,excitatory,23P,275.0,5032.0,234.0,4288.0,1
211,484773,864691136577873172,[286720  94000  23343],2022-06-09 14:30:32.002707,L1,excitatory,23P,59.0,6074.0,44.0,5455.0,1
212,485580,864691136194500428,[282240 101376  20966],2022-06-09 14:30:32.002707,L1,excitatory,23P,68.0,5544.0,57.0,5040.0,1
214,516647,864691135730142393,[308800 106944  17812],2022-06-09 14:30:32.002707,L1,excitatory,23P,211.0,4601.0,189.0,4296.0,1
215,607500,864691136487266578,[356080  86624  25329],2022-06-09 14:30:32.002707,L1,excitatory,23P,33.0,2687.0,24.0,2510.0,1
217,151899,864691135467562892,[129680 110160  19707],2022-06-09 14:30:32.002707,L1,excitatory,23P,328.0,5095.0,276.0,4659.0,1
227,515992,864691136545683362,[310096  91216  21026],2022-06-09 14:30:32.002707,L1,inhibitory,23P,59.0,1630.0,41.0,1511.0,1
228,291412,864691137196890433,[192464 100368  23338],2022-06-09 14:30:32.002707,L1,excitatory,23P,65.0,3118.0,51.0,2942.0,1
233,636527,864691135715501338,[367456  87840  24484],2022-06-09 14:30:32.002707,L1,excitatory,23P,27.0,3041.0,22.0,2829.0,1
252,485387,864691136482911276,[281200 103760  18624],2022-06-09 14:30:32.002707,L1,excitatory,NGC,870.0,3211.0,723.0,2910.0,1
274,580115,864691136549902754,[339408  89664  21168],2022-06-09 14:30:32.002707,L1,inhibitory,MC,171.0,2144.0,150.0,2042.0,1
285,387266,864691136723453437,[236624  92592  17859],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,31.0,1891.0,20.0,1815.0,1
290,687154,864691136008469164,[387136  92288  23354],2022-06-09 14:30:32.002707,L1,excitatory,23P,5.0,613.0,5.0,553.0,1
293,290599,864691135538400114,[181984  95568  15288],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,59.0,1169.0,52.0,1095.0,1
295,324327,864691135348257751,[204416 101200  22140],2022-06-09 14:30:32.002707,L1,excitatory,23P,19.0,1485.0,10.0,1399.0,1
297,151847,864691135396850977,[126368 107616  19155],2022-06-09 14:30:32.002707,L1,excitatory,23P,374.0,5538.0,305.0,4848.0,1
302,420024,864691135367367417,[260048  98368  15279],2022-06-09 14:30:32.002707,L1,excitatory,23P,163.0,3056.0,135.0,2681.0,1
304,254530,864691135373373384,[177088  99360  16100],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,72.0,2402.0,68.0,2203.0,1
305,608094,864691135855616558,[346096 102896  18772],2022-06-09 14:30:32.002707,L1,excitatory,23P,219.0,7222.0,184.0,6490.0,1
307,324085,864691136108699832,[209936 104704  19250],2022-06-09 14:30:32.002707,L1,excitatory,23P,53.0,3840.0,45.0,3595.0,1
336,389470,864691135992454280,[244384  95440  21308],2022-06-09 14:30:32.002707,L1,inhibitory,5P-PT,161.0,3043.0,133.0,2784.0,1
342,354622,864691136973676316,[222512  89904  16504],2022-06-09 14:30:32.002707,L1,inhibitory,MC,273.0,2142.0,248.0,2053.0,1
343,387488,864691136422842671,[235312  93728  18932],2022-06-09 14:30:32.002707,L1,excitatory,23P,144.0,3400.0,127.0,3203.0,1
346,550728,864691135999765194,[327920  92544  20027],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,65.0,4362.0,53.0,4097.0,1
350,291422,864691135113449369,[194128 100432  22755],2022-06-09 14:30:32.002707,L1,excitatory,23P,205.0,3555.0,184.0,3331.0,1
357,319453,864691135491696735,[203744  92096  16618],2022-06-09 14:30:32.002707,L1,excitatory,NGC,402.0,1841.0,352.0,1730.0,1
362,580849,864691136951630815,[334864 104768  19130],2022-06-09 14:30:32.002707,L1,excitatory,23P,73.0,8859.0,55.0,8050.0,1
376,485361,864691135528510194,[288960  96224  17424],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,326.0,1634.0,262.0,1531.0,1
389,219287,864691135737685617,[158640  91344  22590],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,30.0,1567.0,26.0,1503.0,1
399,287425,864691135994794410,[185616  92640  23632],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,142.0,3121.0,129.0,2908.0,1
402,452488,864691135058583195,[277296 102336  19843],2022-06-09 14:30:32.002707,L1,excitatory,23P,79.0,5597.0,68.0,4977.0,1
406,607395,864691135758499662,[351216  87824  24497],2022-06-09 14:30:32.002707,L1,excitatory,23P,54.0,6443.0,38.0,5778.0,1
407,324059,864691135571236845,[197536 106112  18909],2022-06-09 14:30:32.002707,L1,inhibitory,MC,5053.0,12972.0,2824.0,11679.0,1
416,420492,864691135391248882,[252096  96720  19828],2022-06-09 14:30:32.002707,L1,inhibitory,MC,707.0,4088.0,624.0,3870.0,1
418,607742,864691135478687686,[357424  87584  27443],2022-06-09 14:30:32.002707,L1,excitatory,23P,89.0,1599.0,66.0,1455.0,1
423,291618,864691136451292415,[188272  98544  25364],2022-06-09 14:30:32.002707,L1,excitatory,23P,160.0,4211.0,136.0,3898.0,1
